n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	0	0	0	0	0	0	0	8	5	8	-5	8
2	0	0	0	0	0	0	0	8	-5	8	5	8
3	0	0	0	0	0	0	3	8	-10	8	10	8
4	0	0	0	0	0	0	-3	8	10	8	-10	8
5	0	0	0	0	0	0	5	8	-10	8	10	8
6	0	0	0	0	0	0	-5	8	5	8	-5	8
7	0	0	0	0	0	0	7	8	-10	8	10	8
8	0	0	0	0	0	0	-7	8	5	8	-5	8



