n	x_fix	y_fix	x_tar1	y_tar1	x_tar2	y_tar2
1	0.5	0.5	0.4	0.5	0.6	0.5
2	0.5	0.5	0.6	0.5	0.4	0.5
3	0.55	0.5	0.45	0.5	0.65	0.5
4	0.55	0.5	0.65	0.5	0.45	0.5
5	0.6	0.5	0.5	0.5	0.7	0.5
6	0.6	0.5	0.7	0.5	0.5	0.5
7	0.65	0.5	0.55	0.5	0.75	0.5
8	0.65	0.5	0.75	0.5	0.55	0.5
9	0.7	0.5	0.6	0.5	0.8	0.5
10	0.7	0.5	0.8	0.5	0.6	0.5
