n	x_f_e	y_f_e	x_t1_e	y_t1_e	x_t2_e	y_t2_e	x_f_h	y_f_h	x_t1_h	y_t1_h	x_t2_h	y_t2_h
1	0	0	0	0	0	0	0	8	10	8	-10	8
2	0	0	0	0	0	0	0	8	-10	8	10	8
3	0	0	0	0	0	0	0	8	-20	8	20	8
4	0	0	0	0	0	0	0	8	20	8	-20	8
5	0	0	0	0	0	0	0	11	10	11	-10	11
6	0	0	0	0	0	0	0	11	-10	11	10	11
7	0	0	0	0	0	0	0	11	-20	11	20	11
8	0	0	0	0	0	0	0	11	20	11	-20	11
